OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2022-02-24T00:00:00,TRUE,2021-12-01T00:00:00,2021-12-31T23:59:59,Month,2021-12,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,221775,297056,196157,155299,108413
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2022-02-24T00:00:00,TRUE,2021-12-01T00:00:00,2021-12-31T23:59:59,Month,2021-12,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,184613,256457,158309,125602,88052
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2022-02-24T00:00:00,TRUE,2021-12-01T00:00:00,2021-12-31T23:59:59,Month,2021-12,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,223047,279119,189172,147974,101952
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2022-02-24T00:00:00,TRUE,2021-12-01T00:00:00,2021-12-31T23:59:59,Month,2021-12,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,175410,288738,191018,145113,110867
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2022-02-24T00:00:00,TRUE,2021-12-01T00:00:00,2021-12-31T23:59:59,Month,2021-12,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,257126,314772,211760,173055,111805
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2022-02-24T00:00:00,TRUE,2021-12-01T00:00:00,2021-12-31T23:59:59,Month,2021-12,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,217519,271403,184999,148535,88937
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2022-02-24T00:00:00,TRUE,2021-12-01T00:00:00,2021-12-31T23:59:59,Month,2021-12,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,257523,368267,233559,185592,120440
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2022-02-24T00:00:00,TRUE,2021-12-01T00:00:00,2021-12-31T23:59:59,Month,2021-12,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,203016,270887,172909,138312,100642
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2022-02-24T00:00:00,,2021-11-01T00:00:00,2021-11-30T23:59:59,Month,2021-11,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,217547,289842,193242,153047,107622
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2022-02-24T00:00:00,,2021-11-01T00:00:00,2021-11-30T23:59:59,Month,2021-11,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,182485,252958,156909,124040,88113
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2022-02-24T00:00:00,,2021-11-01T00:00:00,2021-11-30T23:59:59,Month,2021-11,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,210620,262819,179300,140052,97135
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2022-02-24T00:00:00,,2021-11-01T00:00:00,2021-11-30T23:59:59,Month,2021-11,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,177705,291207,194026,146943,112836
